,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智
0,GT-3,骑兵与猎人,2019-05-30 10:00:00+08:00,12,1135,异铁,1067,0.9400881057268723,0.07834067547723936,12.764761012183692,糖,683,0.6017621145374449,0.05014684287812041,19.941434846266475
1,GT-4,骑兵与猎人,2019-05-30 10:00:00+08:00,12,826,酮凝集,769,0.9309927360774818,0.07758272800645681,12.889466840052018,聚酸酯,467,0.5653753026634383,0.04711460855528652,21.224839400428266
2,DM-4,生于黑夜,2020-04-21 16:00:00+08:00,12,1819,固源岩,3029,1.6652006597031337,0.1387667216419278,7.206338725652031,异铁,793,0.4359538207806487,0.03632948506505406,27.525851197982345
3,DM-5,生于黑夜,2020-04-21 16:00:00+08:00,15,530,糖,712,1.3433962264150943,0.08955974842767295,11.165730337078653,装置,216,0.4075471698113208,0.02716981132075472,36.80555555555555
4,TW-4,沃伦姆德的薄暮,2020-07-09 16:00:00+08:00,12,385,聚酸酯,429,1.1142857142857143,0.09285714285714286,10.769230769230768,固源岩,330,0.8571428571428571,0.07142857142857142,14.0
5,TW-5,沃伦姆德的薄暮,2020-07-09 16:00:00+08:00,15,236,酮凝集,260,1.1016949152542372,0.07344632768361582,13.615384615384615,装置,100,0.423728813559322,0.02824858757062147,35.4
6,RI-4,密林悍将归来,2020-08-25 16:00:00+08:00,12,107,聚酸酯,118,1.102803738317757,0.09190031152647975,10.881355932203391,固源岩,89,0.8317757009345794,0.06931464174454828,14.426966292134832
7,RI-5,密林悍将归来,2020-08-25 16:00:00+08:00,15,140,异铁,153,1.0928571428571427,0.07285714285714286,13.725490196078432,装置,53,0.37857142857142856,0.025238095238095237,39.62264150943396
8,GT-3,骑兵与猎人・复刻,2020-10-01 16:00:00+08:00,12,42,异铁,41,0.9761904761904762,0.08134920634920635,12.292682926829269,糖,27,0.6428571428571429,0.053571428571428575,18.666666666666664
9,GT-4,骑兵与猎人・复刻,2020-10-01 16:00:00+08:00,12,81,酮凝集,75,0.9259259259259259,0.07716049382716049,12.96,聚酸酯,45,0.5555555555555556,0.0462962962962963,21.599999999999998
