,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
30,RI-4,密林悍将归来・复刻,2021-07-20 16:00:00+08:00,12,123,聚酸酯,143,0.7886178861788617,0.06571815718157181,15.216494845360826,固源岩,97,0.7886178861788617,0.06571815718157181,15.216494845360826,102.45148847248834
12,MB-4,孤岛风云,2020-12-17 16:00:00+08:00,12,140,聚酸酯,154,0.8071428571428572,0.06726190476190476,14.867256637168142,固源岩,113,0.8071428571428572,0.06726190476190476,14.867256637168142,116.61145029388916
28,TW-4,沃伦姆德的薄暮・复刻,2021-06-17 16:00:00+08:00,12,174,聚酸酯,204,0.8160919540229885,0.06800766283524905,14.704225352112674,固源岩,142,0.8160919540229885,0.06800766283524905,14.704225352112674,144.93137393669082
73,BI-4,风雪过境・复刻,2022-12-01 16:00:00+08:00,12,11413,酮凝集,10114,0.826075527906773,0.06883962732556441,14.52651675859143,固源岩,9428,0.826075527906773,0.06883962732556441,14.52651675859143,9506.332015743978
65,NL-4,长夜临光・复刻,2022-09-22 16:00:00+08:00,12,20010,聚酸酯,22214,0.8283858070964518,0.06903215059137098,14.48600386100386,固源岩,16576,0.8283858070964518,0.06903215059137098,14.48600386100386,16667.108002719448
23,WD-4,遗尘漫步,2021-04-15 16:00:00+08:00,12,666,异铁,597,0.8288288288288288,0.06906906906906907,14.478260869565219,固源岩,552,0.8288288288288288,0.06906906906906907,14.478260869565219,554.7373278266442
56,LE-3,尘影余音,2022-06-09 16:00:00+08:00,12,57798,装置,38432,0.8309803107373958,0.06924835922811631,14.440775364883716,固源岩,48029,0.8309803107373958,0.06924835922811631,14.440775364883716,48142.20431490147
6,RI-4,密林悍将归来,2020-08-25 16:00:00+08:00,12,107,聚酸酯,118,0.8317757009345794,0.06931464174454828,14.426966292134832,固源岩,89,0.8317757009345794,0.06931464174454828,14.426966292134832,89.12446558175814
124,OD-4,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,91702,酮凝集,81444,0.8319993020871955,0.06933327517393297,14.423089021704937,固源岩,76296,0.8319993020871955,0.06933327517393297,14.423089021704937,76382.16582035876
82,GA-4,吾导先路・复刻,2023-02-21 16:00:00+08:00,12,393477,装置,263997,0.8320410087501938,0.06933675072918281,14.422366053838095,固源岩,327389,0.8320410087501938,0.06933675072918281,14.422366053838095,327742.3116234902
77,IW-4,将进酒・复刻,2023-01-01 16:00:00+08:00,12,96401,酮凝集,85586,0.8321282974243006,0.06934402478535838,14.420853175097859,固源岩,80218,0.8321282974243006,0.06934402478535838,14.420853175097859,80296.14585558006
67,NL-6,长夜临光・复刻,2022-09-22 16:00:00+08:00,15,41849,异铁,46531,1.0401682238524217,0.0693445482568281,14.420744314266026,固源岩,43530,1.0401682238524217,0.0693445482568281,14.420744314266026,43572.07663704436
121,CR-3,水晶箭行动,2024-03-07 16:00:00+08:00,12,681000,酮凝集,604868,0.8323127753303965,0.06935939794419971,14.417656866117976,固源岩,566805,0.8323127753303965,0.06935939794419971,14.417656866117976,567231.4117867037
36,NL-6,长夜临光,2021-11-01 16:00:00+08:00,15,615,异铁,692,1.0406504065040652,0.06937669376693768,14.414062499999996,固源岩,640,1.0406504065040652,0.06937669376693768,14.414062499999996,640.3218029530522
140,AS-6,太阳甩在身后,2024-08-01 16:00:00+08:00,12,3121945,糖,3467063,0.832610760279249,0.06938423002327075,14.412496898280926,固源岩,2599365,0.832610760279249,0.06938423002327075,14.412496898280926,2600389.5299125416
126,OD-6,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,1747257,装置,1171703,0.8328305452489244,0.06940254543741037,14.408693423238127,固源岩,1455169,0.8328305452489244,0.06940254543741037,14.408693423238127,1455358.377186785
119,HS-5,怀黍离,2024-02-01 16:00:00+08:00,12,2313108,糖,2570158,0.8329628361494578,0.06941356967912148,14.406405038996063,固源岩,1926733,0.8329628361494578,0.06941356967912148,14.406405038996063,1926677.7040456957
19,OD-6,源石尘行动,2021-03-09 16:00:00+08:00,12,455,装置,311,0.832967032967033,0.06941391941391942,14.406332453825858,固源岩,379,0.832967032967033,0.06941391941391942,14.406332453825858,378.9872134551398
128,BB-4,巴别塔,2024-04-11 16:00:00+08:00,12,1897944,糖,2108565,0.8330066640533125,0.06941722200444271,14.405647058823527,固源岩,1581000,0.8330066640533125,0.06941722200444271,14.405647058823527,1580871.4458327512
47,GA-4,吾导先路,2022-03-15 16:00:00+08:00,12,18135,装置,12128,0.833085194375517,0.06942376619795974,14.404289118347895,固源岩,15108,0.833085194375517,0.06942376619795974,14.404289118347895,15105.347507712
143,DT-3,泰拉饭,2024-09-02 16:00:00+08:00,12,1770042,聚酸酯,1966347,0.8330858815779513,0.06942382346482927,14.404277236424596,固源岩,1474597,0.8330858815779513,0.06942382346482927,14.404277236424596,1474336.8907221155
63,IC-5,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,15,58337,酮凝集,64775,1.0414145396575072,0.06942763597716714,14.403486247592713,固源岩,60753,1.0414145396575072,0.06942763597716714,14.403486247592713,60738.947998166186
94,LE-3,尘影余音・复刻,2023-06-20 16:00:00+08:00,12,476096,装置,319373,0.833163899717704,0.06943032497647533,14.402928408283039,固源岩,396666,0.833163899717704,0.06943032497647533,14.402928408283039,396558.89313656755
132,CW-6,孤星・复刻,2024-05-24 16:00:00+08:00,15,1243434,糖,1726658,1.0416041382172274,0.0694402758811485,14.400864445175367,固源岩,1295166,1.0416041382172274,0.0694402758811485,14.400864445175367,1294630.732899391
86,SN-6,愚人号・复刻,2023-04-20 16:00:00+08:00,15,279130,糖,387119,1.0419052054598217,0.06946034703065478,14.396703194682749,固源岩,290827,1.0419052054598217,0.06946034703065478,14.396703194682749,290622.8046476186
103,IC-5,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,15,80980,酮凝集,89957,1.0419115831069399,0.06946077220712933,14.396615070993434,固源岩,84374,1.0419115831069399,0.06946077220712933,14.396615070993434,84314.24325713523
