,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,源岩掉落数,源岩单件期望理智,代糖掉落数,代糖单件期望理智,酯原料掉落数,酯原料单件期望理智,异铁碎片掉落数,异铁碎片单件期望理智,双酮掉落数,双酮单件期望理智,破损装置掉落数,破损装置单件期望理智
0,OD-1,源石尘行动,2021-03-09 16:00:00+08:00,12,92,76,14.526315789473685,40,27.6,54,20.444444444444443,43,25.674418604651162,44,25.09090909090909,34,32.470588235294116
1,OD-2,源石尘行动,2021-03-09 16:00:00+08:00,12,38,36,12.666666666666666,22,20.727272727272727,25,18.24,16,28.5,16,28.5,11,41.45454545454545
2,WD-1,遗尘漫步,2021-04-15 16:00:00+08:00,12,69,53,15.622641509433961,46,18.0,35,23.65714285714286,28,29.571428571428573,22,37.63636363636363,30,27.6
3,WD-2,遗尘漫步,2021-04-15 16:00:00+08:00,12,119,91,15.692307692307692,52,27.46153846153846,57,25.05263157894737,49,29.142857142857142,43,33.2093023255814,32,44.625
4,SV-1,覆潮之下,2021-05-01 16:00:00+08:00,12,43,29,17.79310344827586,26,19.846153846153847,27,19.11111111111111,13,39.69230769230769,19,27.157894736842106,20,25.8
5,SV-2,覆潮之下,2021-05-01 16:00:00+08:00,12,95,78,14.615384615384615,58,19.655172413793103,44,25.90909090909091,50,22.8,39,29.23076923076923,31,36.774193548387096
6,NL-1,长夜临光,2021-11-01 16:00:00+08:00,9,395,249,14.27710843373494,166,21.41566265060241,180,19.75,148,24.02027027027027,140,25.392857142857142,103,34.51456310679612
7,NL-2,长夜临光,2021-11-01 16:00:00+08:00,9,280,178,14.157303370786517,116,21.724137931034484,117,21.53846153846154,101,24.95049504950495,95,26.526315789473685,77,32.72727272727273
8,NL-3,长夜临光,2021-11-01 16:00:00+08:00,9,207,138,13.5,76,24.513157894736842,100,18.63,70,26.614285714285714,56,33.267857142857146,49,38.02040816326531
9,BI-1,风雪过境,2021-12-21 16:00:00+08:00,9,163,111,13.216216216216216,51,28.764705882352942,43,34.116279069767444,19,77.21052631578948,33,44.45454545454545,18,81.5
10,BI-2,风雪过境,2021-12-21 16:00:00+08:00,9,14,10,12.6,6,21.0,5,25.2,4,31.5,5,25.2,5,25.2
11,BI-3,风雪过境,2021-12-21 16:00:00+08:00,9,320,211,13.649289099526067,71,40.563380281690144,46,62.608695652173914,36,80.0,46,62.608695652173914,37,77.83783783783784
12,IW-1,将进酒,2022-01-25 16:00:00+08:00,9,388,245,14.253061224489796,116,30.103448275862068,78,44.76923076923077,75,46.56,118,29.593220338983052,42,83.14285714285714
13,IW-2,将进酒,2022-01-25 16:00:00+08:00,9,176,115,13.773913043478261,51,31.058823529411764,27,58.666666666666664,17,93.17647058823529,51,31.058823529411764,22,72.0
14,IW-3,将进酒,2022-01-25 16:00:00+08:00,9,444,295,13.545762711864407,112,35.67857142857143,101,39.56435643564357,61,65.50819672131148,129,30.976744186046513,50,79.92
15,GA-1,吾导先路,2022-03-15 16:00:00+08:00,9,1782,1070,14.988785046728973,440,36.45,306,52.411764705882355,235,68.2468085106383,470,34.12340425531915,134,119.68656716417911
16,GA-2,吾导先路,2022-03-15 16:00:00+08:00,9,824,534,13.887640449438202,193,38.424870466321245,134,55.343283582089555,105,70.62857142857143,216,34.333333333333336,71,104.45070422535211
17,GA-3,吾导先路,2022-03-15 16:00:00+08:00,9,1223,777,14.166023166023166,356,30.918539325842698,230,47.856521739130436,184,59.82065217391305,311,35.39228295819936,132,83.38636363636364
18,SN-1,愚人号,2022-05-01 16:00:00+08:00,9,4356,2629,14.912133891213388,1666,23.531812725090035,1670,23.475449101796407,1254,31.263157894736842,1378,28.449927431059507,918,42.705882352941174
19,SN-2,愚人号,2022-05-01 16:00:00+08:00,9,1936,1169,14.905047048759624,748,23.294117647058822,754,23.108753315649867,591,29.482233502538072,582,29.938144329896907,418,41.68421052631579
20,SN-3,愚人号,2022-05-01 16:00:00+08:00,9,2270,1388,14.719020172910662,880,23.21590909090909,923,22.134344528710727,706,28.937677053824363,691,29.565846599131692,539,37.90352504638219
21,LE-1,尘影余音,2022-06-09 16:00:00+08:00,9,2826,1788,14.224832214765101,1194,21.301507537688444,1150,22.116521739130434,946,26.88583509513742,879,28.935153583617748,718,35.42339832869081
22,LE-2,尘影余音,2022-06-09 16:00:00+08:00,9,1939,1185,14.726582278481013,809,21.571075401730532,822,21.22992700729927,657,26.561643835616437,640,27.2671875,462,37.77272727272727
23,DV-1,绿野幻梦,2022-07-05 16:00:00+08:00,9,10173,6379,14.352876626430476,4190,21.85131264916468,4174,21.935074269286055,3373,27.14408538393122,3365,27.208618127786032,2508,36.50598086124402
24,DV-2,绿野幻梦,2022-07-05 16:00:00+08:00,9,4042,2513,14.475925189017111,1641,22.16819012797075,1695,21.461946902654866,1366,26.63103953147877,1293,28.134570765661252,982,37.044806517311606
25,IC-1,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,9,17122,10717,14.378837361201828,7076,21.777557942340305,7076,21.777557942340305,5748,26.808977035490607,5686,27.101301442138585,4211,36.59415815720732
26,IC-2,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,9,5939,3694,14.469680563075258,2434,21.960147904683648,2484,21.518115942028984,1978,27.022750252780586,1941,27.537867078825347,1453,36.786648313833446
27,AW-1,日暮寻路,2022-09-08 16:00:00+08:00,9,1533,974,14.1652977412731,638,21.62539184952978,630,21.9,519,26.583815028901736,492,28.04268292682927,399,34.578947368421055
28,AW-2,日暮寻路,2022-09-08 16:00:00+08:00,9,647,393,14.816793893129772,256,22.74609375,289,20.14878892733564,227,25.651982378854626,220,26.46818181818182,159,36.62264150943396
29,AW-3,日暮寻路,2022-09-08 16:00:00+08:00,12,642,519,14.84393063583815,370,20.82162162162162,347,22.201729106628243,310,24.851612903225806,296,26.027027027027028,226,34.08849557522124
30,AW-4,日暮寻路,2022-09-08 16:00:00+08:00,12,775,615,15.121951219512194,409,22.73838630806846,424,21.933962264150942,342,27.19298245614035,329,28.267477203647417,247,37.65182186234818
31,BW-1,好久不见,2022-09-15 16:00:00+08:00,9,1541,973,14.253854059609456,641,21.63650546021841,617,22.478119935170177,535,25.92336448598131,520,26.671153846153846,376,36.88563829787234
32,BW-2,好久不见,2022-09-15 16:00:00+08:00,9,902,556,14.600719424460431,404,20.094059405940595,367,22.11989100817439,256,31.7109375,299,27.150501672240804,248,32.733870967741936
33,BW-3,好久不见,2022-09-15 16:00:00+08:00,12,1176,977,14.444216990788126,647,21.81143740340031,630,22.4,518,27.243243243243242,537,26.279329608938546,406,34.758620689655174
34,BW-4,好久不见,2022-09-15 16:00:00+08:00,12,1317,1105,14.302262443438915,722,21.889196675900276,720,21.95,603,26.208955223880597,600,26.34,452,34.9646017699115
35,NL-1,长夜临光・复刻,2022-09-22 16:00:00+08:00,9,13243,8228,14.485537190082646,5564,21.421099928109275,5474,21.773291925465838,4250,28.044,4322,27.576816288755207,3307,36.04082249773208
